line_number,reference,left_context,word,right_context,word_reference,word_lower
878,[Pearl](https://metseditions.org/editions/RZ5r80ETbe1cKVpHvm1RUl9eMrNR8l): 878,A note ful nwe I ,herde, hem warpe;,[herde](https://quod.lib.umich.edu/m/middle-english-dictionary/dictionary?utf8=%E2%9C%93&search_field=hnf&q=herde),herde
1131,[Pearl](https://metseditions.org/editions/RZ5r80ETbe1cKVpHvm1RUl9eMrNR8l): 1131,That ever I ,herde, of speche spent.,[herde](https://quod.lib.umich.edu/m/middle-english-dictionary/dictionary?utf8=%E2%9C%93&search_field=hnf&q=herde),herde
95,[Pearl](https://metseditions.org/editions/RZ5r80ETbe1cKVpHvm1RUl9eMrNR8l): 95,As ,here, and se her adubbement.,[here](https://quod.lib.umich.edu/m/middle-english-dictionary/dictionary?utf8=%E2%9C%93&search_field=hnf&q=here),here
209,[Pearl](https://metseditions.org/editions/RZ5r80ETbe1cKVpHvm1RUl9eMrNR8l): 209,Her ,here,-leke al hyr umbegon.,[here](https://quod.lib.umich.edu/m/middle-english-dictionary/dictionary?utf8=%E2%9C%93&search_field=hnf&q=here),here
297,[Pearl](https://metseditions.org/editions/RZ5r80ETbe1cKVpHvm1RUl9eMrNR8l): 297,Thyself schal won wyth me ryght ,here,.,[here](https://quod.lib.umich.edu/m/middle-english-dictionary/dictionary?utf8=%E2%9C%93&search_field=hnf&q=here),here
388,[Pearl](https://metseditions.org/editions/RZ5r80ETbe1cKVpHvm1RUl9eMrNR8l): 388,Bot now I am ,here, in your presente,[here](https://quod.lib.umich.edu/m/middle-english-dictionary/dictionary?utf8=%E2%9C%93&search_field=hnf&q=here),here
398,[Pearl](https://metseditions.org/editions/RZ5r80ETbe1cKVpHvm1RUl9eMrNR8l): 398,“And welcum ,here," to walk and byde,",[here](https://quod.lib.umich.edu/m/middle-english-dictionary/dictionary?utf8=%E2%9C%93&search_field=hnf&q=here),here
401,[Pearl](https://metseditions.org/editions/RZ5r80ETbe1cKVpHvm1RUl9eMrNR8l): 401,I hete thee arn heterly hated ,here,.,[here](https://quod.lib.umich.edu/m/middle-english-dictionary/dictionary?utf8=%E2%9C%93&search_field=hnf&q=here),here
438,[Pearl](https://metseditions.org/editions/RZ5r80ETbe1cKVpHvm1RUl9eMrNR8l): 438,"“Sir, fele ",here, porchases and fonges pray,[here](https://quod.lib.umich.edu/m/middle-english-dictionary/dictionary?utf8=%E2%9C%93&search_field=hnf&q=here),here
613,[Pearl](https://metseditions.org/editions/RZ5r80ETbe1cKVpHvm1RUl9eMrNR8l): 613,That I my peny haf wrang tan ,here,;,[here](https://quod.lib.umich.edu/m/middle-english-dictionary/dictionary?utf8=%E2%9C%93&search_field=hnf&q=here),here
906,[Pearl](https://metseditions.org/editions/RZ5r80ETbe1cKVpHvm1RUl9eMrNR8l): 906,And bydes ,here, by thys blysful bonc,[here](https://quod.lib.umich.edu/m/middle-english-dictionary/dictionary?utf8=%E2%9C%93&search_field=hnf&q=here),here
260,[Pearl](https://metseditions.org/editions/RZ5r80ETbe1cKVpHvm1RUl9eMrNR8l): 260,,Hereinne, to lenge forever and play,[Hereinne](https://quod.lib.umich.edu/m/middle-english-dictionary/dictionary?utf8=%E2%9C%93&search_field=hnf&q=Hereinne),hereinne
576,[Pearl](https://metseditions.org/editions/RZ5r80ETbe1cKVpHvm1RUl9eMrNR8l): 576,“More haf I of joye and blysse ,hereinne,",",[hereinne](https://quod.lib.umich.edu/m/middle-english-dictionary/dictionary?utf8=%E2%9C%93&search_field=hnf&q=hereinne),hereinne
57,[Pearl](https://metseditions.org/editions/RZ5r80ETbe1cKVpHvm1RUl9eMrNR8l): 57,Suche odour to my ,hernes," schot,",[hernes](https://quod.lib.umich.edu/m/middle-english-dictionary/dictionary?utf8=%E2%9C%93&search_field=hnf&q=hernes),hernes
50,[Pearl](https://metseditions.org/editions/RZ5r80ETbe1cKVpHvm1RUl9eMrNR8l): 50,A deuely dele in my ,hert, denned,[hert](https://quod.lib.umich.edu/m/middle-english-dictionary/dictionary?utf8=%E2%9C%93&search_field=hnf&q=hert),hert
173,[Pearl](https://metseditions.org/editions/RZ5r80ETbe1cKVpHvm1RUl9eMrNR8l): 173,Bot baysment gef myn ,hert, a brunt.,[hert](https://quod.lib.umich.edu/m/middle-english-dictionary/dictionary?utf8=%E2%9C%93&search_field=hnf&q=hert),hert
178,[Pearl](https://metseditions.org/editions/RZ5r80ETbe1cKVpHvm1RUl9eMrNR8l): 178,That stonge myn ,hert, ful stray astount —,[hert](https://quod.lib.umich.edu/m/middle-english-dictionary/dictionary?utf8=%E2%9C%93&search_field=hnf&q=hert),hert
681,[Pearl](https://metseditions.org/editions/RZ5r80ETbe1cKVpHvm1RUl9eMrNR8l): 681,That is of ,hert, bothe clene and lyght —,[hert](https://quod.lib.umich.edu/m/middle-english-dictionary/dictionary?utf8=%E2%9C%93&search_field=hnf&q=hert),hert
1081,[Pearl](https://metseditions.org/editions/RZ5r80ETbe1cKVpHvm1RUl9eMrNR8l): 1081,No fleschly ,hert, ne myght endeure,[hert](https://quod.lib.umich.edu/m/middle-english-dictionary/dictionary?utf8=%E2%9C%93&search_field=hnf&q=hert),hert
1135,[Pearl](https://metseditions.org/editions/RZ5r80ETbe1cKVpHvm1RUl9eMrNR8l): 1135,Anende Hys ,hert, thurgh hyde torente.,[hert](https://quod.lib.umich.edu/m/middle-english-dictionary/dictionary?utf8=%E2%9C%93&search_field=hnf&q=hert),hert
16,[Pearl](https://metseditions.org/editions/RZ5r80ETbe1cKVpHvm1RUl9eMrNR8l): 16,That dos bot thrych my ,herte," thrange,",[herte](https://quod.lib.umich.edu/m/middle-english-dictionary/dictionary?utf8=%E2%9C%93&search_field=hnf&q=herte),herte
127,[Pearl](https://metseditions.org/editions/RZ5r80ETbe1cKVpHvm1RUl9eMrNR8l): 127,The more strenghthe of joye myn ,herte, straynes.,[herte](https://quod.lib.umich.edu/m/middle-english-dictionary/dictionary?utf8=%E2%9C%93&search_field=hnf&q=herte),herte
134,[Pearl](https://metseditions.org/editions/RZ5r80ETbe1cKVpHvm1RUl9eMrNR8l): 134,For urthely ,herte, myght not suffyse,[herte](https://quod.lib.umich.edu/m/middle-english-dictionary/dictionary?utf8=%E2%9C%93&search_field=hnf&q=herte),herte
175,[Pearl](https://metseditions.org/editions/RZ5r80ETbe1cKVpHvm1RUl9eMrNR8l): 175,Such a burre myght make myn ,herte, blunt.,[herte](https://quod.lib.umich.edu/m/middle-english-dictionary/dictionary?utf8=%E2%9C%93&search_field=hnf&q=herte),herte
363,[Pearl](https://metseditions.org/editions/RZ5r80ETbe1cKVpHvm1RUl9eMrNR8l): 363,My ,herte, was al wyth mysse remorde,[herte](https://quod.lib.umich.edu/m/middle-english-dictionary/dictionary?utf8=%E2%9C%93&search_field=hnf&q=herte),herte
416,[Pearl](https://metseditions.org/editions/RZ5r80ETbe1cKVpHvm1RUl9eMrNR8l): 416,And sesed in alle Hys ,herytage,,[herytage](https://quod.lib.umich.edu/m/middle-english-dictionary/dictionary?utf8=%E2%9C%93&search_field=hnf&q=herytage),herytage
632,[Pearl](https://metseditions.org/editions/RZ5r80ETbe1cKVpHvm1RUl9eMrNR8l): 632,Thay dyden hys ,heste,", thay wern thereine.",[heste](https://quod.lib.umich.edu/m/middle-english-dictionary/dictionary?utf8=%E2%9C%93&search_field=hnf&q=heste),heste
401,[Pearl](https://metseditions.org/editions/RZ5r80ETbe1cKVpHvm1RUl9eMrNR8l): 401,I ,hete, thee arn heterly hated here.,[hete](https://quod.lib.umich.edu/m/middle-english-dictionary/dictionary?utf8=%E2%9C%93&search_field=hnf&q=hete),hete
553,[Pearl](https://metseditions.org/editions/RZ5r80ETbe1cKVpHvm1RUl9eMrNR8l): 553,That suffred han the dayes ,hete,,[hete](https://quod.lib.umich.edu/m/middle-english-dictionary/dictionary?utf8=%E2%9C%93&search_field=hnf&q=hete),hete
642,[Pearl](https://metseditions.org/editions/RZ5r80ETbe1cKVpHvm1RUl9eMrNR8l): 642,And sythen wende to helle ,hete,,[hete](https://quod.lib.umich.edu/m/middle-english-dictionary/dictionary?utf8=%E2%9C%93&search_field=hnf&q=hete),hete
401,[Pearl](https://metseditions.org/editions/RZ5r80ETbe1cKVpHvm1RUl9eMrNR8l): 401,I hete thee arn ,heterly, hated here.,[heterly](https://quod.lib.umich.edu/m/middle-english-dictionary/dictionary?utf8=%E2%9C%93&search_field=hnf&q=heterly),heterly
230,[Pearl](https://metseditions.org/editions/RZ5r80ETbe1cKVpHvm1RUl9eMrNR8l): 230,No gladder gome ,hethen, into Grece,[hethen](https://quod.lib.umich.edu/m/middle-english-dictionary/dictionary?utf8=%E2%9C%93&search_field=hnf&q=hethen),hethen
313,[Pearl](https://metseditions.org/editions/RZ5r80ETbe1cKVpHvm1RUl9eMrNR8l): 313,As man to God wordes schulde ,heve,.,[heve](https://quod.lib.umich.edu/m/middle-english-dictionary/dictionary?utf8=%E2%9C%93&search_field=hnf&q=heve),heve
472,[Pearl](https://metseditions.org/editions/RZ5r80ETbe1cKVpHvm1RUl9eMrNR8l): 472,Thyself in heven over hygh thou ,heve,,[heve](https://quod.lib.umich.edu/m/middle-english-dictionary/dictionary?utf8=%E2%9C%93&search_field=hnf&q=heve),heve
458,[Pearl](https://metseditions.org/editions/RZ5r80ETbe1cKVpHvm1RUl9eMrNR8l): 458,As ,heved, and arme and legg and navle,[heved](https://quod.lib.umich.edu/m/middle-english-dictionary/dictionary?utf8=%E2%9C%93&search_field=hnf&q=heved),heved
464,[Pearl](https://metseditions.org/editions/RZ5r80ETbe1cKVpHvm1RUl9eMrNR8l): 464,Thy ,heved, has nauther greme ne gryste,[heved](https://quod.lib.umich.edu/m/middle-english-dictionary/dictionary?utf8=%E2%9C%93&search_field=hnf&q=heved),heved
973,[Pearl](https://metseditions.org/editions/RZ5r80ETbe1cKVpHvm1RUl9eMrNR8l): 973,Bow up towarde thys bornes ,heved,",",[heved](https://quod.lib.umich.edu/m/middle-english-dictionary/dictionary?utf8=%E2%9C%93&search_field=hnf&q=heved),heved
15,[Pearl](https://metseditions.org/editions/RZ5r80ETbe1cKVpHvm1RUl9eMrNR8l): 15,And ,heven, my happe and al my hele.,[heven](https://quod.lib.umich.edu/m/middle-english-dictionary/dictionary?utf8=%E2%9C%93&search_field=hnf&q=heven),heven
472,[Pearl](https://metseditions.org/editions/RZ5r80ETbe1cKVpHvm1RUl9eMrNR8l): 472,Thyself in ,heven, over hygh thou heve,[heven](https://quod.lib.umich.edu/m/middle-english-dictionary/dictionary?utf8=%E2%9C%93&search_field=hnf&q=heven),heven
489,[Pearl](https://metseditions.org/editions/RZ5r80ETbe1cKVpHvm1RUl9eMrNR8l): 489,Wer fayr in ,heven, to halde asstate,[heven](https://quod.lib.umich.edu/m/middle-english-dictionary/dictionary?utf8=%E2%9C%93&search_field=hnf&q=heven),heven
499,[Pearl](https://metseditions.org/editions/RZ5r80ETbe1cKVpHvm1RUl9eMrNR8l): 499,And lyknes hit to ,heven, lyghte.,[heven](https://quod.lib.umich.edu/m/middle-english-dictionary/dictionary?utf8=%E2%9C%93&search_field=hnf&q=heven),heven
872,[Pearl](https://metseditions.org/editions/RZ5r80ETbe1cKVpHvm1RUl9eMrNR8l): 872,A hue fro ,heven," I herde thoo,",[heven](https://quod.lib.umich.edu/m/middle-english-dictionary/dictionary?utf8=%E2%9C%93&search_field=hnf&q=heven),heven
987,[Pearl](https://metseditions.org/editions/RZ5r80ETbe1cKVpHvm1RUl9eMrNR8l): 987,As hit was lyght fro the ,heven, adoun.,[heven](https://quod.lib.umich.edu/m/middle-english-dictionary/dictionary?utf8=%E2%9C%93&search_field=hnf&q=heven),heven
1125,[Pearl](https://metseditions.org/editions/RZ5r80ETbe1cKVpHvm1RUl9eMrNR8l): 1125,That the Vertues of ,heven, of joye endyte.,[heven](https://quod.lib.umich.edu/m/middle-english-dictionary/dictionary?utf8=%E2%9C%93&search_field=hnf&q=heven),heven
422,[Pearl](https://metseditions.org/editions/RZ5r80ETbe1cKVpHvm1RUl9eMrNR8l): 422,Art thou the quene of ,hevenes, blwe,[hevenes](https://quod.lib.umich.edu/m/middle-english-dictionary/dictionary?utf8=%E2%9C%93&search_field=hnf&q=hevenes),hevenes
619,[Pearl](https://metseditions.org/editions/RZ5r80ETbe1cKVpHvm1RUl9eMrNR8l): 619,The mede sumtyme of ,hevenes, clere?,[hevenes](https://quod.lib.umich.edu/m/middle-english-dictionary/dictionary?utf8=%E2%9C%93&search_field=hnf&q=hevenes),hevenes
734,[Pearl](https://metseditions.org/editions/RZ5r80ETbe1cKVpHvm1RUl9eMrNR8l): 734,Is lyke the reme of ,hevenesse, clere —,[hevenesse](https://quod.lib.umich.edu/m/middle-english-dictionary/dictionary?utf8=%E2%9C%93&search_field=hnf&q=hevenesse),hevenesse
718,[Pearl](https://metseditions.org/editions/RZ5r80ETbe1cKVpHvm1RUl9eMrNR8l): 718,To suche is ,hevenryche, arayed.’,[hevenryche](https://quod.lib.umich.edu/m/middle-english-dictionary/dictionary?utf8=%E2%9C%93&search_field=hnf&q=hevenryche),hevenryche
440,[Pearl](https://metseditions.org/editions/RZ5r80ETbe1cKVpHvm1RUl9eMrNR8l): 440,That emperise al ,hevens, has,[hevens](https://quod.lib.umich.edu/m/middle-english-dictionary/dictionary?utf8=%E2%9C%93&search_field=hnf&q=hevens),hevens
1179,[Pearl](https://metseditions.org/editions/RZ5r80ETbe1cKVpHvm1RUl9eMrNR8l): 1179,A longeyng ,hevy," me strok in swone,",[hevy](https://quod.lib.umich.edu/m/middle-english-dictionary/dictionary?utf8=%E2%9C%93&search_field=hnf&q=hevy),hevy
1011,[Pearl](https://metseditions.org/editions/RZ5r80ETbe1cKVpHvm1RUl9eMrNR8l): 1011,The topasye twynne-,hew,", the nente endent.",[hew](https://quod.lib.umich.edu/m/middle-english-dictionary/dictionary?utf8=%E2%9C%93&search_field=hnf&q=hew),hew
516,[Pearl](https://metseditions.org/editions/RZ5r80ETbe1cKVpHvm1RUl9eMrNR8l): 516,“‘Er date of daye ,hider," arn we wonne,’",[hider](https://quod.lib.umich.edu/m/middle-english-dictionary/dictionary?utf8=%E2%9C%93&search_field=hnf&q=hider),hider
206,[Pearl](https://metseditions.org/editions/RZ5r80ETbe1cKVpHvm1RUl9eMrNR8l): 206,,Highe, pynakled of cler quyt perle,[Highe](https://quod.lib.umich.edu/m/middle-english-dictionary/dictionary?utf8=%E2%9C%93&search_field=hnf&q=Highe),highe
975,[Pearl](https://metseditions.org/editions/RZ5r80ETbe1cKVpHvm1RUl9eMrNR8l): 975,Schal sue tyl thou to a ,hil, be veved.”,[hil](https://quod.lib.umich.edu/m/middle-english-dictionary/dictionary?utf8=%E2%9C%93&search_field=hnf&q=hil),hil
21,[Pearl](https://metseditions.org/editions/RZ5r80ETbe1cKVpHvm1RUl9eMrNR8l): 21,To thenke ,hir, color so clad in clot.,[hir](https://quod.lib.umich.edu/m/middle-english-dictionary/dictionary?utf8=%E2%9C%93&search_field=hnf&q=hir),hir
187,[Pearl](https://metseditions.org/editions/RZ5r80ETbe1cKVpHvm1RUl9eMrNR8l): 187,Er I at steven ,hir, moght stalle.,[hir](https://quod.lib.umich.edu/m/middle-english-dictionary/dictionary?utf8=%E2%9C%93&search_field=hnf&q=hir),hir
190,[Pearl](https://metseditions.org/editions/RZ5r80ETbe1cKVpHvm1RUl9eMrNR8l): 190,Ryses up in ,hir," araye ryalle,",[hir](https://quod.lib.umich.edu/m/middle-english-dictionary/dictionary?utf8=%E2%9C%93&search_field=hnf&q=hir),hir
196,[Pearl](https://metseditions.org/editions/RZ5r80ETbe1cKVpHvm1RUl9eMrNR8l): 196,Al blysnande whyt was ,hir," beau biys,",[hir](https://quod.lib.umich.edu/m/middle-english-dictionary/dictionary?utf8=%E2%9C%93&search_field=hnf&q=hir),hir
427,[Pearl](https://metseditions.org/editions/RZ5r80ETbe1cKVpHvm1RUl9eMrNR8l): 427,Bot ho ,hir, passed in sum favour?,[hir](https://quod.lib.umich.edu/m/middle-english-dictionary/dictionary?utf8=%E2%9C%93&search_field=hnf&q=hir),hir
